File Name,Language,AST Similarity,Cosine TF-IDF Similarity,CodeBERT Semantic Similarity,CodeT5 Semantic Similarity,Node Overlap Similarity,Edge Overlap Similarity,CFG Similarity,Data Flow Similarity,Token Edit Similarity,Path Jaccard Similarity,Rabin Karp Similarity,NCD Similarity,MinHash Similarity,Dice Trigram Similarity,Execution Trace Similarity,CodeBLEU Score,Weisfeiler-Lehman Similarity,Jaro-Winkler Similarity,LCS Similarity,N-gram Token Similarity,clone_type
Gpt_false_pair_0.py,python,1.0,1.0000000000000002,0.9999999,1.0,0.0909090909090909,0.0,0.5849892582750408,0.8339597975974431,1.0,1.0,1.0,0.0857142857142857,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1.py,python,1.0,1.0000000000000002,0.9998345,0.95418626,0.0909090909090909,0.0476190476190476,0.5958918723650072,0.7346326292679293,1.0,1.0,1.0,0.1388888888888889,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_10.py,python,1.0,1.0000000000000002,0.97083414,0.9309664,0.0909090909090909,0.0,0.646139246587932,0.8129063909012109,1.0,1.0,1.0,0.2666666666666666,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_100.py,python,1.0,1.0000000000000002,0.99974316,0.9870576,0.0769230769230769,0.0,0.7965564055023107,0.8274534014072104,1.0,1.0,1.0,0.0851063829787234,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1000.py,python,1.0,1.0000000000000002,0.9997069,0.9751938,0.2413793103448276,0.0,0.6146767617693462,0.6035212602015614,1.0,1.0,1.0,0.0909090909090909,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1001.py,python,1.0,1.0000000000000002,0.9997069,0.9751938,0.2413793103448276,0.0,0.6142137937429706,0.731678959126354,1.0,1.0,1.0,0.0909090909090909,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1002.py,python,1.0,1.0000000000000002,0.9997069,0.9751938,0.2413793103448276,0.0,0.6744810247950686,0.6106165866053959,1.0,1.0,1.0,0.0909090909090909,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1003.py,python,1.0,1.0000000000000002,0.9997069,0.9751938,0.2413793103448276,0.0303030303030303,0.8251122766085062,0.7273153573358899,1.0,1.0,1.0,0.0909090909090909,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1004.py,python,1.0,1.0000000000000002,0.9997069,0.9751938,0.2413793103448276,0.0,0.8841540477945836,0.6755819933218188,1.0,1.0,1.0,0.0909090909090909,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1005.py,python,1.0,1.0000000000000002,0.9997069,0.9751938,0.2,0.0,0.521180350561734,0.6493839157134225,1.0,1.0,1.0,0.0909090909090909,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1006.py,python,1.0,1.0000000000000002,0.9997069,0.9751938,0.2413793103448276,0.0303030303030303,0.8331163983617726,0.7516933128549588,1.0,1.0,1.0,0.0909090909090909,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1007.py,python,1.0,1.0000000000000002,0.9997069,0.9751938,0.2413793103448276,0.0,0.618253235946443,0.8193532729970623,1.0,1.0,1.0,0.0909090909090909,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
