File Name,Language,AST Similarity,Cosine TF-IDF Similarity,CodeBERT Semantic Similarity,CodeT5 Semantic Similarity,Node Overlap Similarity,Edge Overlap Similarity,CFG Similarity,Data Flow Similarity,Token Edit Similarity,Path Jaccard Similarity,Rabin Karp Similarity,NCD Similarity,MinHash Similarity,Dice Trigram Similarity,Execution Trace Similarity,CodeBLEU Score,Weisfeiler-Lehman Similarity,Jaro-Winkler Similarity,LCS Similarity,N-gram Token Similarity,clone_type
Gpt_false_pair_0.java,java,1.0,1.0000000000000002,0.9999739,0.990922,0.0989010989010989,0.0,0.8690119855242713,0.890644688362265,1.0,1.0,1.0,0.0566037735849056,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1.java,java,1.0,1.0000000000000009,0.99991125,0.9825609,0.1578947368421052,0.0,0.7997087669483998,0.6883197954026592,1.0,1.0,1.0,0.0519480519480519,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_10.java,java,1.0,1.0000000000000009,0.99991125,0.9825609,0.1578947368421052,0.0,0.505181973899529,0.7366691122674793,1.0,1.0,1.0,0.0519480519480519,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_100.java,java,1.0,1.0000000000000002,0.99736094,0.98157024,0.1764705882352941,0.0,0.8335672252790758,0.7363495711182393,1.0,1.0,1.0,0.0689655172413793,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1000.java,java,1.0,1.0000000000000009,0.9989002,0.96601176,0.1904761904761904,0.0,0.6528094903709669,0.6835147178822633,1.0,1.0,1.0,0.0806451612903225,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1001.java,java,1.0,1.0000000000000009,0.9989002,0.96601176,0.1904761904761904,0.0,0.8887471496664276,0.5395965278039461,1.0,1.0,1.0,0.0806451612903225,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1002.java,java,1.0,1.0000000000000009,0.9989842,0.9680237,0.1904761904761904,0.0212765957446808,0.6607296823338555,0.6984098915520403,1.0,1.0,1.0,0.0909090909090909,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1003.java,java,1.0,1.0000000000000009,0.9989842,0.9680237,0.1904761904761904,0.0,0.702064105557245,0.5598400959971203,1.0,1.0,1.0,0.0909090909090909,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1004.java,java,1.0,1.0000000000000009,0.9989002,0.96601176,0.1904761904761904,0.0,0.7538517906152302,0.76641549202298,1.0,1.0,1.0,0.0806451612903225,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1005.java,java,1.0,1.0000000000000009,0.9989842,0.9680237,0.1904761904761904,0.0212765957446808,0.8917589613582733,0.7817984292821456,1.0,1.0,1.0,0.0909090909090909,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
