File Name,Language,AST Similarity,Cosine TF-IDF Similarity,CodeBERT Semantic Similarity,CodeT5 Semantic Similarity,Node Overlap Similarity,Edge Overlap Similarity,CFG Similarity,Data Flow Similarity,Token Edit Similarity,Path Jaccard Similarity,Rabin Karp Similarity,NCD Similarity,MinHash Similarity,Dice Trigram Similarity,Execution Trace Similarity,CodeBLEU Score,Weisfeiler-Lehman Similarity,Jaro-Winkler Similarity,LCS Similarity,N-gram Token Similarity,clone_type
Gpt_false_pair_0.cs,csharp,1.0,1.0000000000000002,0.99966407,0.98480886,0.1239669421487603,0.0,0.6301480951787655,0.7274501900602948,1.0,1.0,1.0,0.04,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1.cs,csharp,1.0,1.0000000000000002,0.9996827,0.98199564,0.1239669421487603,0.0075187969924812,0.8515387381206534,0.7684612143675342,1.0,1.0,1.0,0.0486111111111111,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_10.cs,csharp,1.0,1.0000000000000009,0.99997175,0.97594607,0.1428571428571428,0.0,0.7419510943190905,0.682975775171694,1.0,1.0,1.0,0.0531914893617021,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_100.cs,csharp,0.9870801033591732,1.0000000000000009,0.9963078,0.9592688,0.2115384615384615,0.0338983050847457,0.7074047283856415,0.5651171861211406,0.918918918918919,0.2692307692307692,0.5,0.1203703703703703,0.9801980198019802,1.3,0.0,0.5940748440748441,0.6666666666666666,0.9932330827067668,0.918918918918919,0.75,type12
Gpt_false_pair_1000.cs,csharp,0.99581589958159,1.0,0.99645096,0.9364938,0.1896551724137931,0.0,0.5568768890154314,0.717826983543857,0.926829268292683,0.375,0.6,0.0941176470588235,0.9801980198019802,1.3636363636363635,0.0,0.6509146341463414,0.4285714285714285,0.991509433962264,0.926829268292683,0.7619047619047619,type12
Gpt_false_pair_1001.cs,csharp,0.99581589958159,1.0,0.99645096,0.9364938,0.1896551724137931,0.0,0.612988873574476,0.6647342713211583,0.926829268292683,0.375,0.6,0.0941176470588235,0.9801980198019802,1.3636363636363635,0.0,0.6509146341463414,0.4285714285714285,0.991509433962264,0.926829268292683,0.7619047619047619,type12
Gpt_false_pair_1002.cs,csharp,0.99581589958159,1.0,0.99650776,0.93861485,0.1896551724137931,0.0151515151515151,0.837626803283841,0.5964799745837768,0.926829268292683,0.375,0.6,0.119047619047619,0.9801980198019802,1.3636363636363635,0.0,0.6509146341463414,0.4285714285714285,0.991509433962264,0.926829268292683,0.7619047619047619,type12
Gpt_false_pair_1003.cs,csharp,1.0,1.0,0.9999291,0.95719635,0.1836734693877551,0.0,0.5246742639715888,0.5583277457012779,1.0,1.0,1.0,0.0779220779220779,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1004.cs,csharp,1.0,1.0,0.9999291,0.95719635,0.1836734693877551,0.0,0.5973797271023927,0.7548280602545825,1.0,1.0,1.0,0.0779220779220779,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1005.cs,csharp,1.0,1.0,0.99338686,0.94848156,0.1836734693877551,0.0,0.7671390439572556,0.5208765798842083,1.0,1.0,1.0,0.1298701298701298,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,type12
